question_id,room_id,type,prompt,options,correct_answer,video_url
q_cap_01,2025,SHORT,Question 29: Detail how a developer structurally evaluates target variables to choose between implementing a linear regression model versus a logistic regression model.,,"The architectural choice depends entirely on the data characteristics of the target variable. If the pipeline must predict a continuous numeric value (such as an exact numeric examination grade or market evaluation index), linear regression is deployed. If the system requires classification into discrete categorical outcomes (such as a binary Yes or No time-bound group), logistic regression must be implemented.",https://youtu.be/5H5ygPCiWKw
q_cap_02,2025,SHORT,Question 30: Contrast the internal processing and training resource demands of an artificial neural network against an instance-based model like K-Nearest Neighbours (KNN).,,"An artificial neural network requires substantial optimization overhead and high processing power up front during its training phase to process forward inputs, evaluate cross-entropy errors, and run backpropagation routines to tune connection weights across thousands of iterations. Conversely, KNN functions as a lazy learner, meaning it executes zero structural parameters or predictive modeling during training; it copy-saves raw coordinates into memory and defers all computational operations to real-time live queries.",https://youtu.be/Kvc6wK5h29k
q_cap_03,2025,SHORT,Question 31: Explain the operational mechanics that occur behind the scenes when executing the .fit() and .predict() methods on a KNN object using an object-oriented library like scikit-learn.,,"When calling the standard .fit() method on an instantiated KNN model object, the algorithm performs no background mathematical modeling, treating the event as a baseline storage operation to copy dataset coordinates and strings into memory arrays. The primary mathematical engine engages exclusively when calling .predict(), executing loops across the database to calculate Euclidean distance vectors, sorting arrays into ascending order to isolate the closest k values, and resolving the target label via an optimized majority vote.",https://youtu.be/Gun2gyz596E
q_cap_04,2025,SHORT,Question 32: Justify the selection of reinforcement learning over supervised architectures for managing automated navigation mechanics inside a dynamic industrial environment.,,"Dynamic industrial environments shift constantly, making historical pre-labeled training datasets obsolete when handling spontaneous hazards or layout updates. Reinforcement learning provides an active behavioral loop where the autonomous software agent explores states dynamically using trial-and-error. By processing immediate positive rewards for efficient, secure navigation and negative penalties for collision vectors or protocol breaches, the agent constructs highly flexible behavioral policies on the fly.",https://youtu.be/4LUe3ywJi48
q_cap_05,2025,SHORT,Question 33: Compare the core data preparation and formatting parameters necessary for establishing a supervised machine learning workflow versus an unsupervised modeling script.,,"Supervised machine learning structures demand pre-sorted, annotated datasets containing explicit input feature arrays paired with validated ground-truth target outputs so the estimator can map algorithmic weights. Unsupervised pipelines require raw, unlabelled data matrices absent of predefined classes or target outputs, forcing the logic to scan structural attributes independently to find hidden internal features, cluster configurations, or system anomalies.",https://youtu.be/usS0uaLg6h8
q_newson_01,9dt2026,SHORT,"Rather than joining a corporate design firm straight after art school, what highly physical and unusual approach did a 23-year-old Newson take to launch his career?",,"He physically hand-built 13 unusual, sculptural objects. To create the moulds for these pieces, he literally hacked away at a giant block of foam with a savage wire brush in a friend's backyard.",https://youtu.be/G6qiXntTTwk
q_newson_02,9dt2026,MCQ,"While Newson draws ideas from pop culture and art, which specific life experience does he credit for giving him a deep understanding of how intricate details, style, and culture all seamlessly connect?","A: Travelling to America to study the vintage aircraft built by the Lockheed Corporation.|B: Living in France and studying classical paintings, such as the portrait of Madame Récamier.|C: Living in Japan and observing how their food, religion, architecture, and crafts all beautifully relate to one another.|D: Travelling across the Australian outback to understand how to design for harsh environments.",C,https://youtu.be/lPVVJGjNtR8
q_newson_03,9dt2026,MCQ,The iconic Lockheed Lounge is famous for blending two very different historical and visual influences. Which of the following accurately describes the stylistic combination he used?,"A: A modern, comfortable bus stop bench shaped like a suborbital jet.|B: A classical chaise lounge shape covered with the riveted aluminium panels of vintage aircraft.|C: Traditional Japanese timber joints covered with shiny fibreglass.|D: A fluid globule of mercury shaped entirely using digital 3D modelling.",B,https://youtu.be/v6ladEVcIFc
q_newson_04,9dt2026,SHORT,"Because he designs such a massive variety of objects, Newson's work is purchased by two completely different types of consumers. Contrast these two markets and describe what they typically buy.",,"Everyday consumers buy his mass-produced items, such as clothing collections for G-Star, Pentax cameras, or mobile telephones. On the other extreme, highly wealthy collectors participate in the ""design art market,"" buying his limited-edition, sculptural furniture at auction houses for astronomical prices, sometimes exceeding 1.5 million dollars.",https://youtu.be/Y81jWtY95qU
q_newson_05,9dt2026,MCQ,"What was the primary environmental reason behind Newson's collaboration with the Australian bathroom company, Caroma?","A: To create bathroom sinks entirely out of recycled aerospace aluminium.|B: To develop stylish tapware specifically engineered for low water consumption to help conserve resources in a very dry continent.|C: To design cheap, disposable bathroom products that easily break down in landfills.|D: To use advanced injection moulding techniques to reduce factory emissions.",B,https://youtu.be/QT3_XpBKCeY
